text,compound,negative,neutral,positive,sentiment
TargetText,0.0,0.0,1.0,0.0,neutral
"And I was also in close touch with the HR, the CTO and the CEO. So after I was accepted, I received an email from each department. So yeah, I would say the HR department and the CTO and CEO.",0.5936,0.0,0.875,0.125,positive
"They were quite responsive, really fast, I would say. And there were instructions, obviously. I was sent a contract, an agreement, everything was signed.",0.7178,0.0,0.76,0.24,positive
"So in this instance, I would say that it was really organized. So it was a positive experience to me. I also didn't have to wait for a long time for each email.",0.5945,0.0,0.879,0.121,positive
", the previous company that I was working for, and they weren't really so responsive. And to me, that means that they either weren't so interested in me, or maybe they were waiting for another candidate, even though they accepted me, or they weren't as professional as I thought them to be.",0.4302,0.052,0.844,0.104,positive
"in the beginning, I wasn't really clear, but I didn't want to ask any questions to them regarding this, because I think that getting things done in the technical aspect is more important.",0.1546,0.093,0.826,0.081,positive
"when I told the current company that I also had received an offer from another company, they really seemed to be pushing more. So I also had an in-person interview where I saw that, okay, the CEO was really trying to convince me and join the company.",0.6557,0.0,0.863,0.137,positive
I was also told that the company has a lot of benefits and then I was listed all of them.,0.3818,0.0,0.86,0.14,positive
was 10 days,0.0,0.0,1.0,0.0,neutral
"they contacted me directly with my offer. They sent me the contract. I had to sign it and send it back. No need for hard copies or things like that, just by email or scanning, things like that. They had a list of documents I had to provide and that took a couple of weeks to take care because depending on the laws and how the documentation can be provided by school or by the national institutions and things like that.",0.7964,0.042,0.832,0.125,positive
then they sent me some more information regarding housing because we also have a relocation package that helps a lot money-wise,0.3818,0.0,0.874,0.126,positive
information about E-card and I think for metal centre as well,0.2732,0.0,0.811,0.189,positive
it was some kind of good information and a guide of what is expected of you when you come here.,0.3832,0.0,0.873,0.127,positive
"was very responsive and with whatever questions that I had, she was very quick to respond.",0.4201,0.0,0.834,0.166,positive
"I felt like secure in a way. So, I was safe to have like to be more, how can I say it, not safe, but just like secure and that I'll find everything and I'll like have everything in place in a way.",0.943,0.0,0.613,0.387,positive
because I got information since the first days regarding documentation and contracts and things like that.,0.3612,0.0,0.848,0.152,positive
"I would have liked to be a little bit earlier because it was like, where do I go, what do I do, who I contact and things like that.",0.7783,0.0,0.729,0.271,positive
the communication I had with HR and later then with my manager was making me feel easier.,0.4215,0.0,0.843,0.157,positive
there's also more careful communication with each other.,0.2247,0.0,0.787,0.213,positive
"So, it's not like being diplomatic, but it's in the way that we don't hurt each other's feelings when we have something to criticize or we have something that is going wrong.",-0.6781,0.226,0.685,0.09,negative
"In the HR, it was like a normal HR interviews. I mostly did the interviews with the managers. HR was very little involvement from HR, like very few questions from them.",0.6124,0.0,0.844,0.156,positive
"during the questions and the interview part, they were laughing or having some reaction to what I was saying. So, that's a good feeling and you can read it on their faces sometimes when it's good.",0.8839,0.0,0.726,0.274,positive
They were very transparent with me,0.0,0.0,1.0,0.0,neutral
"So, they had clear information, they had clear procedures, they had people to take care of you, so it was what you would expect from an international company. Nothing out of the ordinary, but also not bad.",0.8289,0.0,0.772,0.228,positive
"Well, the only information that I had from the pre-boarding was that I would have a buddy, like a person that would take care of my onboarding. So I didn't know what to expect in a way.",0.7783,0.0,0.782,0.218,positive
it took approximately one month since the application and getting like the green light from the migration agency in this case.,0.3612,0.0,0.889,0.111,positive
", in the meantime, I was, I would say, daily in contact with my current director in this case",0.0,0.0,1.0,0.0,neutral
"And I always was getting updates regarding my status in this case for the visa, for the onboarding in this case, which is like creating the needed accounts and if I needed some support.",0.7506,0.0,0.797,0.203,positive
"What I didn't get that others, as I heard, are getting is the relocation package,",0.0,0.0,1.0,0.0,neutral
"""What I didn't get that others, as I heard, are getting is the relocation package, in this case, help for finding an apartment, housing or anything like that during the onboarding time, pre-boarding time actually.",0.6369,0.0,0.856,0.144,positive
"So, that was a bit distressful. """,-0.4939,0.444,0.556,0.0,negative
"they were very professional, but in the meantime, very friendly, because everything was, like I didn't have to do any bureaucracy or anything like that.",0.905,0.0,0.651,0.349,positive
"But mainly emails and also phone calls. We were doing a lot of phone calls, directly cell phone calls.",0.0,0.0,1.0,0.0,neutral
"Just getting in constant touch, constantly in communicating with me, caring about the needs in this case, and if I have any further requirements",0.4939,0.0,0.873,0.127,positive
", just the relocation thing, if it's included, would be really good.",0.4927,0.0,0.758,0.242,positive
getting you into the office before onboarding.,0.0,0.0,1.0,0.0,neutral
I would say it was increasing trust based on their alertness and professionalism. So I would say it was increasing.,0.5106,0.0,0.837,0.163,positive
"getting to know the team before joining in, maybe through some calls, video calls, and also why not this training of the products",0.0,0.0,1.0,0.0,neutral
"Definitely open approach, open communication between both sides in this case, keeping it professional, however, in the meantime, like being friendly and open because a lot of emotions are mixed in this process for both sides",0.8126,0.0,0.792,0.208,positive
"I didn't face any problems in terms of submitting all the necessary documents that was requested. But also, it was a lot of guidance at the beginning.",0.1603,0.0,0.936,0.064,positive
