text,compound,negative,neutral,positive,sentiment
"I would say that I was very confident since the first day I wasn't anxious, unlike my first, uh, experiences with other companies.",0.6408,0.0,0.775,0.225,positive
"I was able to be in touch with the team, most specifically with the CEO and the CTO.",0.0,0.0,1.0,0.0,neutral
"I was introduced to the team, even though the company is a little bit small, the office and most of the employees are remote.",0.0,0.0,1.0,0.0,neutral
"setting everything up in terms of hardware, software, uh, my work environment and everything.",0.0,0.0,1.0,0.0,neutral
"the first experience was really good and positive, I would say, and quite professional.",0.7939,0.0,0.609,0.391,positive
"when I was introduced with all of this new stuff, I was overwhelmed and I felt a bit anxious and stressed, but then I was thinking, okay, this is what happens in every company and every onboarding. So everything requires some time.",0.0644,0.081,0.832,0.087,positive
"I felt a lot of stress. Uh, not because of, in terms of expertise, but as I said, it's because it was something new and your company and your environment. So that plays a role.",0.2541,0.056,0.858,0.086,positive
"Of course, I was scared. I was like, how is my colleague going to look like, going to feel like? How are they going to like receive me?",0.755,0.085,0.613,0.302,positive
". Initially, I anticipated a bit colder culture here from the other colleagues and the teams.",0.0,0.0,1.0,0.0,neutral
", I was surprisingly, in a positive manner, surprised actually because they really welcomed me in a good way in this case.",0.9061,0.0,0.494,0.506,positive
everything from the equipment requirements that I have stated during my pre-boarding phase was waiting for me at the table,0.0,0.0,1.0,0.0,neutral
. Just an ease onboarding started with some onboarding trainings.,0.3612,0.0,0.762,0.238,positive
"There were quite a lot of people, a lot of trainees that were at the same moment when I joined. So, it was a strange environment, a strange feeling at the beginning because everyone was new and no one knew what and where he or she should go.",-0.5896,0.135,0.833,0.032,negative
"I was collected from two colleagues of mine from my department. So, they took me there to get my new ID and also to just start to show me the things around the building and where I should go, what should I do.",0.0,0.0,1.0,0.0,neutral
"I would say it was a bit more difficult because when you are on the first day, you are learning, you are starting from scratch.",-0.4201,0.113,0.887,0.0,negative
"Of course, when you start a new job, of course, you're feeling a little bit anxious",-0.0571,0.113,0.788,0.099,negative
I was feeling anxious,-0.128,0.444,0.222,0.333,negative
"But then when I saw the environment and the team and everything, I don't know, but my stress level decreased. I was more relaxed.",0.2592,0.135,0.692,0.173,positive
"But before, I was very stressed, to be honest.",0.2289,0.253,0.429,0.318,positive
"They had organized everything. They put the things that I needed, like my laptop, the other parts, the screens and everything, the keyboard. They had prepared everything, my table.",0.5267,0.0,0.855,0.145,positive
"They would give me a short introduction, again, about the company and hierarchy, organigram and stuff like that, more detailed. And then I would meet with IT. They would give me all my passwords, everything that I needed for my work.",0.3612,0.0,0.937,0.063,positive
"Meeting the team was really nice because, as I said, I was introduced in my interviews, but I did not know them personally, so I was kind of networking between the departments a little bit. And that day, it went like that. Half of the day was trying to get to know everyone and trying to network with the colleagues.",0.6482,0.0,0.909,0.091,positive
"And after that, I was in a very short introduction of my tasks and how everything was structured in the department I'm currently working in. And so, this is how the first day went by.",0.0,0.0,1.0,0.0,neutral
"when I came there for the first time on my first day, you can say so, I didn't have any impression, to be honest.",0.3887,0.067,0.801,0.132,positive
", it was a bit annoying, frankly speaking, because then I had to start over again, I had to learn new things from the beginning again and stuff, so my impression, it wasn't that good, but it wasn't that bad either, so it was quite middle, I'd say.",0.4236,0.073,0.818,0.11,positive
I remember it being very awkward because I'm also working in a industry that there are many men,-0.2247,0.112,0.888,0.0,negative
We had some technicalities with the tools that I needed to use,0.0,0.0,1.0,0.0,neutral
in itself the first day I remember it was a bit strange to me and I felt like what am I doing here? Do I really belong here?,0.264,0.07,0.818,0.111,positive
they just called my name to introduce themselves that was a bit unprepared and a bit scared like I was not prepared of that,-0.2654,0.182,0.718,0.1,negative
thinking that yeah maybe also during onboarding there will happen something and I will not be supported enough but then it was much easier having an onboarding buddy,0.5885,0.048,0.78,0.172,positive
"I was super excited, to be honest, but thrilled and happy. But in the same time, I was super scared,",0.9493,0.109,0.311,0.581,positive
I was pretty nervous right before I came to the company,0.2732,0.171,0.569,0.26,positive
"The day before the first day at work was a bit stressful for me. I had a mix of feelings such as enthusiasm, fear, insecurity and tiredness due to the moving from Vienna to Tyrol.",-0.7506,0.231,0.697,0.072,negative
I was a bit scared because this new career was totally new for me and I didn't know how the work in a real company is and how would I manage to succeed.,0.0772,0.09,0.81,0.1,positive
Before the first day I felt insecure but happy to start and the beginning of the first day I felt welcomed and respected. This made the feeling of insecurity to fade a bit.,0.8573,0.128,0.55,0.322,positive
During the day I felt overwhelmed with all the information I received. I expected a more easy-paced environment the first day. This took me by surprise.,0.3182,0.0,0.858,0.142,positive
