text,compound,negative,neutral,positive,sentiment
TargetText,0.0,0.0,1.0,0.0,neutral
"I still stay in touch with the HR and they were trying to, they said, take your time and everything is going to be well, don't worry about it. It's a new thing. So we all know how it feels like.",0.7189,0.0,0.837,0.163,positive
the documentations of the company are very well explained.,0.3384,0.0,0.77,0.23,positive
. They have taken quite some time to give a focus on the onboarding aspect of an employee.,0.0,0.0,1.0,0.0,neutral
"you don't have to worry at all about it because we're all in your shoes. So they know how it feels like to be onboarded on a company and everyone faced the same, let's say the same errors that I faced.",0.3624,0.055,0.831,0.113,positive
"And for everything that I would face difficulties, they would always be supportive and there to reply and give me some feedback.",0.0,0.094,0.812,0.094,neutral
". And I feel like I'm safe hands. And yeah, that's what I can say.",0.765,0.0,0.542,0.458,positive
we always take notes of something that is not correct or something that needs to be improved.,0.4767,0.0,0.838,0.162,positive
"For the preboarding, I would say response time definitely plays a huge role in this.",0.7184,0.0,0.588,0.412,positive
I would really appreciate the fact if the company at least tried to reply to the emails faster within possibly a couple of days,0.4576,0.0,0.875,0.125,positive
"from the company's perspective, I would say that they seem quite more professional if they respond quicker and faster.",0.0,0.0,1.0,0.0,neutral
"people try to be careful when they speak, so they don't offend anyone or don't make anyone feel, I don't know, mistreated or things like that.",0.643,0.0,0.779,0.221,positive
"""It's just the way that they introduced me to everyone with full confidence and that we have a new scrum master and she will be with you and help you. And that's what was important for me as well.",0.836,0.0,0.774,0.226,positive
"So they had trust in me and that was very good.""",0.552,0.0,0.737,0.263,positive
"""Well, they asked me, how are you doing? How are things at home? Because I was also relocating and trying to fix everything and documentation.",0.0,0.0,1.0,0.0,neutral
"So, they were like, how are you doing? Have you been anywhere? Do you need help with something?""",0.7187,0.0,0.727,0.273,positive
", they were trying to take feedback from my side as well, not just me going to them when I needed help.",0.5859,0.0,0.789,0.211,positive
"So, they tried to make me understand how the teams work, how are they collaborating with each other, what systems do we have. I mean, not in details because it's not important for my work, but at least so I understand how they work.",-0.0762,0.031,0.969,0.0,negative
", information is very important. So, as to be as clear as they can with documentation, with the steps that you need to take, where are you going, how are you doing this and all these things, information and transparency, of course. Well, they have to trust you as well and to show the trust that they have in you.",0.9259,0.0,0.774,0.226,positive
"they always should keep their word. If they promise you something, they should make that expectation because otherwise, then you will be distrustful to them.",-0.2023,0.109,0.81,0.081,negative
"Only sometimes, for example, the communication through email, maybe it continues to be done as well in German, then it made me a bit left out in this case.",0.2732,0.0,0.928,0.072,positive
"the supervisor presented me in front of like maybe 30 or 40 employees, employees in this case, developers. So I kind of felt honored to present myself in front of them,",0.743,0.0,0.816,0.184,positive
"And I had like good, good feedback about my progression towards getting to know better their products.",0.8807,0.0,0.517,0.483,positive
"I was doing the trainings for both products simultaneously. So that was a bit overwhelmed, which I later on required, for example, to get the first training, finish that and start with the second training.",0.0516,0.0,0.963,0.037,positive
"that first month test phase can be really, really stressful in this case because if you just don't go through it, you are basically without a job.",-0.5956,0.134,0.866,0.0,negative
"Definitely open approach, open communication between both sides in this case, keeping it professional, however, in the meantime, like being friendly and open because a lot of emotions are mixed in this process for both sides",0.8126,0.0,0.792,0.208,positive
", there was no official training in terms of what was handed over to me through seminars or an educational overview of what the company does or what kind of products the company has.",-0.296,0.064,0.936,0.0,negative
"everything was really fast and there was no time to adopt all this information, to process all this information.",-0.128,0.105,0.813,0.081,negative
", it would be nice to see a little bit of the background of the company, what all products they do offer, in which areas they're covering, what kind of departments that do exist. So, it was a little bit more general to this point of view.",0.4215,0.0,0.939,0.061,positive
"Since there was a direct communication, we already had a good communication and a pre-boarding phase. So, yeah, everything ran quite smoothly.",0.659,0.0,0.759,0.241,positive
"There were actually quite everyone was there when I needed it. When I was meeting someone, I was popping on the corridors or to someone else I was meeting. They were open to me, they were saying if I need something",0.0,0.0,1.0,0.0,neutral
"That was also from my team leader, it was quite good when the information was directly and really approachable. So that went quite well, I have to say.",0.6794,0.0,0.817,0.183,positive
"the training should be a bit more organized or more structured, let's say, in a way that we should know what to expect and what will be taken over from me",0.0,0.0,1.0,0.0,neutral
"I felt in some points that I was losing the full picture because I needed to do things on my own in order to understand this and I had to go back and ask again for the same thing. So either I didn't have the full picture or let's say it was not a good communication, the knowledge was not transferred correctly.",-0.6131,0.085,0.915,0.0,negative
"First of all, to be clear with them, what is expected from them, why it is expected from them. So when this is good communicating and clear communicated to get the feedback in terms of are you okay with this, are you happy with this.",0.9136,0.0,0.745,0.255,positive
